FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Wilson Chandler,Lac,F,32.1,4,13.1,16.3,4,1,6,0.667,10,0.1,3.8,1.5,0.5,5.2,0.5,0,0.75,4.3,80.4,101.9
Bojan Bogdanovic,Ind,F,30.16,4,36.9,23.8,17,0.882,41,0.439,22,0.318,18,5.8,2.8,14.1,2,0,1.5,7.2,104.4,104.5
Darren Collison,Ind,G,31.81,4,29.2,22.7,6,1,34,0.441,11,0.364,12,3,4,25.6,0.5,0,2.5,7.2,97.8,103.6
Tyreke Evans,Ind,G,29.74,4,21,32.9,14,0.571,28,0.357,20,0.55,15.3,4.3,0.8,8,0.5,0.25,1.5,7.1,99.7,99
Cory Joseph,Ind,G,27.82,4,21.3,13.4,2,1,15,0.533,9,0.444,7.5,1.8,1,8.5,1,0,0,4.5,127.9,103
Wesley Matthews,Ind,G-F,32.67,4,29.7,15.2,3,1,9,0.222,21,0.333,7,2.5,2,10.8,0.75,0.25,2,4.4,80.8,107.4
Domantas Sabonis,Ind,F,23.11,4,24,19.2,14,0.643,25,0.44,4,0.25,8.5,7.3,4,29.1,0.75,0.25,1.25,10.5,109.6,94.4
Myles Turner,Ind,F-C,23.22,4,31.5,15.9,13,0.615,21,0.524,14,0.214,9.8,6.3,1.5,8.1,0,1.75,0.75,5.7,101.9,99.6
Thaddeus Young,Ind,F,30.98,4,32.6,17.6,7,0.571,34,0.471,8,0.25,10.5,7,3.8,20.5,2.75,0.75,1.25,8,104.9,99.1
Bruce Brown,Det,G,22.83,4,14.2,12.5,2,1,9,0.444,5,0.2,3.3,2,0.5,5.1,0.5,0.25,0.5,4.2,89.4,97.8
Andre Drummond,Det,C,25.84,4,31.9,24.4,21,0.429,53,0.453,1,0,14.3,13,2.3,11.9,1.5,1.25,2.75,9.4,95,94.5
